post_id,text,label,tokens,dataset
5948,appres la bataille,0,"['appres', 'la', 'bataille']",GameTox
3904,are you all bot???,1,"['are', 'you', 'all', 'bot', '?', '?', '?']",GameTox
37884,base def darling,0,"['base', 'def', 'darling']",GameTox
32024,Im Spotted at H6!,0,"['Im', 'Spotted', 'at', 'H6', '!']",GameTox
6326,ty,0,['ty'],GameTox
18617,ff amx,1,"['ff', 'amx']",GameTox
41239,I am spotted at E4!,0,"['I', 'am', 'spotted', 'at', 'E4', '!']",GameTox
36328,gj light,0,"['gj', 'light']",GameTox
12002,move,0,['move'],GameTox
24279,прога ау,0,"['прога', 'ау']",GameTox
5257,DO NOT UPUSH souuth,0,"['DO', 'NOT', 'UPUSH', 'souuth']",GameTox
44014,ns,0,['ns'],GameTox
13616,i give up. to many jokes in this battle. bye,0,"['i', 'give', 'up', '.', 'to', 'many', 'jokes', 'in', 'this', 'battle', '.', 'bye']",GameTox
34998,o outro está dandovolta,0,"['o', 'outro', 'está', 'dandovolta']",GameTox
14535,goo to swim,0,"['goo', 'to', 'swim']",GameTox
33223,fuck you putin ho ri,1,"['fuck', 'you', 'putin', 'ho', 'ri']",GameTox
25289,yes,0,['yes'],GameTox
21917,M 41 YOU MOM BORNE YOU ON A S S IDI OT,1,"['M', '41', 'YOU', 'MOM', 'BORNE', 'YOU', 'ON', 'A', 'S', 'S', 'IDI', 'OT']",GameTox
21679,cap!,0,"['cap', '!']",GameTox
20045,131 from the twitch drop thingty?,0,"['131', 'from', 'the', 'twitch', 'drop', 'thingty', '?']",GameTox
6378,wtf,1,['wtf'],GameTox
1732,красава!&quot;,0,"['красава', '!', '&', 'quot', ';']",GameTox
34711,some shots would be appreciated,0,"['some', 'shots', 'would', 'be', 'appreciated']",GameTox
33054,#ERROR!,0,"['#', 'ERROR', '!']",GameTox
34428,Awww... show me on the tank where the bad arty touched you...,1,"['Awww', '...', 'show', 'me', 'on', 'the', 'tank', 'where', 'the', 'bad', 'arty', 'touched', 'you', '...']",GameTox
43004,arta focus bz 176,0,"['arta', 'focus', 'bz', '176']",GameTox
8844,"problem, i have very bad view and camo",0,"['problem', ',', 'i', 'have', 'very', 'bad', 'view', 'and', 'camo']",GameTox
40966,Im Spotted at E5!,0,"['Im', 'Spotted', 'at', 'E5', '!']",GameTox
32345,all my helath went to artys,0,"['all', 'my', 'helath', 'went', 'to', 'artys']",GameTox
8381,replay saved,0,"['replay', 'saved']",GameTox
40797,Dont jump :D,0,"['Dont', 'jump', ':', 'D']",GameTox
43404,hes playing for draw really?,1,"['hes', 'playing', 'for', 'draw', 'really', '?']",GameTox
51996,wz get eyes on cap,0,"['wz', 'get', 'eyes', 'on', 'cap']",GameTox
12998,Калабаново давай,0,"['Калабаново', 'давай']",GameTox
35125,96...,0,"['96', '...']",GameTox
11804,ja zaraz wracam kilka minut,0,"['ja', 'zaraz', 'wracam', 'kilka', 'minut']",GameTox
12709,send it man,0,"['send', 'it', 'man']",GameTox
14675,team,0,['team'],GameTox
51587,Spotted at H1,0,"['Spotted', 'at', 'H1']",GameTox
38541,"7,4k spot gg guys",0,"['7,4k', 'spot', 'gg', 'guys']",GameTox
50853,skorpion?,0,"['skorpion', '?']",GameTox
48762,2K ty,0,"['2K', 'ty']",GameTox
46573,spotted,0,['spotted'],GameTox
54587,I've been spotted in J6!,0,"['I', ""'ve"", 'been', 'spotted', 'in', 'J6', '!']",GameTox
22185,skodea progeto campers come to help,1,"['skodea', 'progeto', 'campers', 'come', 'to', 'help']",GameTox
1740,idiots,0,['idiots'],GameTox
51521,holy shit,0,"['holy', 'shit']",GameTox
47260,report lynx,0,"['report', 'lynx']",GameTox
45274,"low, 1 shot",0,"['low', ',', '1', 'shot']",GameTox
50659,eat shit,1,"['eat', 'shit']",GameTox
31119,признайся при всех),0,"['признайся', 'при', 'всех', ')']",GameTox
47328,6200 visible and I got some blind,0,"['6200', 'visible', 'and', 'I', 'got', 'some', 'blind']",GameTox
25007,paly defensive let artillery help,0,"['paly', 'defensive', 'let', 'artillery', 'help']",GameTox
29902,game over,0,"['game', 'over']",GameTox
30993,i think,0,"['i', 'think']",GameTox
4040,capiturem a base,0,"['capiturem', 'a', 'base']",GameTox
25426,moment i relaud and go,0,"['moment', 'i', 'relaud', 'and', 'go']",GameTox
28345,gg,0,['gg'],GameTox
40810,good job brNon-Toxic,0,"['good', 'job', 'brNon-Toxic']",GameTox
21658,:(,0,"[':', '(']",GameTox
35141,we on the lemming team,0,"['we', 'on', 'the', 'lemming', 'team']",GameTox
6989,holy crap its almost like playing the wrong side of the map was stupid,1,"['holy', 'crap', 'its', 'almost', 'like', 'playing', 'the', 'wrong', 'side', 'of', 'the', 'map', 'was', 'stupid']",GameTox
52145,arta run,0,"['arta', 'run']",GameTox
48138,RICO GO,0,"['RICO', 'GO']",GameTox
52510,Im Spotted at E3!,0,"['Im', 'Spotted', 'at', 'E3', '!']",GameTox
36923,cover me amx ac,0,"['cover', 'me', 'amx', 'ac']",GameTox
33404,dmg shell,1,"['dmg', 'shell']",GameTox
11426,"yeah, Leo i dead",0,"['yeah', ',', 'Leo', 'i', 'dead']",GameTox
30298,how about some scouting lites?,0,"['how', 'about', 'some', 'scouting', 'lites', '?']",GameTox
44127,gg,0,['gg'],GameTox
47392,Засвет в квадрате E3!!!,0,"['Засвет', 'в', 'квадрате', 'E3', '!', '!', '!']",GameTox
28880,impotento,1,['impotento'],GameTox
44641,"arty, shoot the fucking is3 and kr",0,"['arty', ',', 'shoot', 'the', 'fucking', 'is3', 'and', 'kr']",GameTox
40623,yea,0,['yea'],GameTox
6917,why,0,['why'],GameTox
48755,What are the chances of the LT sitting in the usual bush?,0,"['What', 'are', 'the', 'chances', 'of', 'the', 'LT', 'sitting', 'in', 'the', 'usual', 'bush', '?']",GameTox
52434,get some distance,0,"['get', 'some', 'distance']",GameTox
16839,SPOT PLS,0,"['SPOT', 'PLS']",GameTox
23240,gg,0,['gg'],GameTox
33233,m103 help the 122 you incest faggot,1,"['m103', 'help', 'the', '122', 'you', 'incest', 'faggot']",GameTox
29233,You know where they are,0,"['You', 'know', 'where', 'they', 'are']",GameTox
6889,camping heavies i swear,1,"['camping', 'heavies', 'i', 'swear']",GameTox
9798,gg,0,['gg'],GameTox
37725,be careful,0,"['be', 'careful']",GameTox
42428,can we have snipers,0,"['can', 'we', 'have', 'snipers']",GameTox
20527,manta go spot,0,"['manta', 'go', 'spot']",GameTox
43794,"3 lts and no fcking spot, gg",1,"['3', 'lts', 'and', 'no', 'fcking', 'spot', ',', 'gg']",GameTox
5291,amazing battle,0,"['amazing', 'battle']",GameTox
51738,Меня засветили в A2!,0,"['Меня', 'засветили', 'в', 'A2', '!']",GameTox
37398,gg,0,['gg'],GameTox
42624,gg,0,['gg'],GameTox
8956,&gt;bz,0,"['&', 'gt', ';', 'bz']",GameTox
6926,my rng isn't good today,0,"['my', 'rng', 'is', ""n't"", 'good', 'today']",GameTox
53608,Im Spotted at K6!,0,"['Im', 'Spotted', 'at', 'K6', '!']",GameTox
51455,thank you so much,0,"['thank', 'you', 'so', 'much']",GameTox
13472,it is spellede heavies you retard,1,"['it', 'is', 'spellede', 'heavies', 'you', 'retard']",GameTox
26436,ис,1,['ис'],GameTox
54273,:'(,0,"[':', ""'"", '(']",GameTox
34253,elc u r nooob,1,"['elc', 'u', 'r', 'nooob']",GameTox
45569,i spot,0,"['i', 'spot']",GameTox
44925,u2,0,['u2'],GameTox
50515,сука инвалиды ебаные,1,"['сука', 'инвалиды', 'ебаные']",GameTox
51571,thx,0,['thx'],GameTox
5148,sry,0,['sry'],GameTox
3100,kv 2 reloads goooo t 34 muppet,0,"['kv', '2', 'reloads', 'goooo', 't', '34', 'muppet']",GameTox
16132,help,0,['help'],GameTox
34018,лев тигр,1,"['лев', 'тигр']",GameTox
41185,tx,0,['tx'],GameTox
32655,я у него просто спросил а ты как пёс лаять начал,1,"['я', 'у', 'него', 'просто', 'спросил', 'а', 'ты', 'как', 'пёс', 'лаять', 'начал']",GameTox
28347,gg,0,['gg'],GameTox
35994,do i have some time to smoke a siggarette first?,0,"['do', 'i', 'have', 'some', 'time', 'to', 'smoke', 'a', 'siggarette', 'first', '?']",GameTox
5849,stupid E100 hide behind me,1,"['stupid', 'E100', 'hide', 'behind', 'me']",GameTox
48797,gg,0,['gg'],GameTox
8853,:D,0,"[':', 'D']",GameTox
1386,def,0,['def'],GameTox
12707,so lost ?,0,"['so', 'lost', '?']",GameTox
9691,wow they suck,1,"['wow', 'they', 'suck']",GameTox
53234,удоты,0,['удоты'],GameTox
44061,both of them?,0,"['both', 'of', 'them', '?']",GameTox
21218,Засвет в квадрате H4!!!,0,"['Засвет', 'в', 'квадрате', 'H4', '!', '!', '!']",GameTox
46539,drive,0,['drive'],GameTox
15946,spot pls,0,"['spot', 'pls']",GameTox
31914,lol curious for say gl,0,"['lol', 'curious', 'for', 'say', 'gl']",GameTox
6624,they will run,0,"['they', 'will', 'run']",GameTox
3869,75 ехай,0,"['75', 'ехай']",GameTox
51469,they dr\ef,0,"['they', 'dr\\ef']",GameTox
4659,:|,0,"[':', '|']",GameTox
36284,:-),0,"[':', '-', ')']",GameTox
3508,dont push!!!!!!!!!!!,0,"['dont', 'push', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!']",GameTox
23679,ggez,0,['ggez'],GameTox
2704,gg bois,0,"['gg', 'bois']",GameTox
28679,thx alot,0,"['thx', 'alot']",GameTox
49704,fck braindeads,1,"['fck', 'braindeads']",GameTox
41379,ten k,0,"['ten', 'k']",GameTox
42226,spot them,0,"['spot', 'them']",GameTox
36648,with u,0,"['with', 'u']",GameTox
24839,pls let me,0,"['pls', 'let', 'me']",GameTox
21510,frontline,0,['frontline'],GameTox
8261,https://www.twitch.tv/malpa_gaming_ha_ha KONKURS NA ZLOTO I PREMIUM TANKS ..GIVEWAY FOR GOLD AND PREMIUM TANK,0,"['https', ':', '//www.twitch.tv/malpa_gaming_ha_ha', 'KONKURS', 'NA', 'ZLOTO', 'I', 'PREMIUM', 'TANKS', '..', 'GIVEWAY', 'FOR', 'GOLD', 'AND', 'PREMIUM', 'TANK']",GameTox
2889,оставь,0,['оставь'],GameTox
37994,ez,0,['ez'],GameTox
11196,gj,0,['gj'],GameTox
3474,tds IDIOTS,1,"['tds', 'IDIOTS']",GameTox
17653,gg,0,['gg'],GameTox
20638,hill is safe,0,"['hill', 'is', 'safe']",GameTox
31015,tough crowd,0,"['tough', 'crowd']",GameTox
23973,boredom,1,['boredom'],GameTox
7394,gl hf,0,"['gl', 'hf']",GameTox
22118,hes just being an ass,1,"['hes', 'just', 'being', 'an', 'ass']",GameTox
49792,usless,1,['usless'],GameTox
34994,ok,0,['ok'],GameTox
38400,elc?,0,"['elc', '?']",GameTox
46355,пп,0,['пп'],GameTox
34374,KINDER IDIOTI LEGO GAME MRDKY,1,"['KINDER', 'IDIOTI', 'LEGO', 'GAME', 'MRDKY']",GameTox
13747,pawlack ?,0,"['pawlack', '?']",GameTox
25977,уебан,1,['уебан'],GameTox
11048,look conqueror,0,"['look', 'conqueror']",GameTox
15737,GG,0,['GG'],GameTox
17171,TRUE,0,['TRUE'],GameTox
11049,report ??d??ot cong,1,"['report', '?', '?', 'd', '?', '?', 'ot', 'cong']",GameTox
51724,go 430u,0,"['go', '430u']",GameTox
41584,foch hes up,0,"['foch', 'hes', 'up']",GameTox
4602,"gsor must be in reload, 3/4 at me",0,"['gsor', 'must', 'be', 'in', 'reload', ',', '3/4', 'at', 'me']",GameTox
14777,gg,0,['gg'],GameTox
34136,fuck rng,1,"['fuck', 'rng']",GameTox
18901,idiot,1,['idiot'],GameTox
41521,cs time to move in‘,0,"['cs', 'time', 'to', 'move', 'in', '‘']",GameTox
24443,idc,0,['idc'],GameTox
44287,is is an idiot xd,1,"['is', 'is', 'an', 'idiot', 'xd']",GameTox
41079,clear,0,['clear'],GameTox
49753,idiot team,1,"['idiot', 'team']",GameTox
13317,gg,0,['gg'],GameTox
30514,Im Spotted at E4!,0,"['Im', 'Spotted', 'at', 'E4', '!']",GameTox
6778,nice arty,0,"['nice', 'arty']",GameTox
12736,*** team,1,"['*', '*', '*', 'team']",GameTox
17259,ggs,0,['ggs'],GameTox
14644,"borrasque, EAT SHIT ASSHOLE!!!!",1,"['borrasque', ',', 'EAT', 'SHIT', 'ASSHOLE', '!', '!', '!', '!']",GameTox
29286,so graet player CS,0,"['so', 'graet', 'player', 'CS']",GameTox
8179,only idiots,1,"['only', 'idiots']",GameTox
40238,Засвет в квадрате D0!!!,0,"['Засвет', 'в', 'квадрате', 'D0', '!', '!', '!']",GameTox
18629,arty help me,0,"['arty', 'help', 'me']",GameTox
51212,183,0,['183'],GameTox
48199,fuck this rng pos game,0,"['fuck', 'this', 'rng', 'pos', 'game']",GameTox
12178,yuh be,0,"['yuh', 'be']",GameTox
43162,rigged battle,1,"['rigged', 'battle']",GameTox
36172,this one,0,"['this', 'one']",GameTox
39347,Im Spotted at F2!,0,"['Im', 'Spotted', 'at', 'F2', '!']",GameTox
34941,go 430,0,"['go', '430']",GameTox
38512,lol,0,['lol'],GameTox
11516,it was fun to aim void. have a good day,1,"['it', 'was', 'fun', 'to', 'aim', 'void', '.', 'have', 'a', 'good', 'day']",GameTox
40009,Засвет в квадрате K1!!!,0,"['Засвет', 'в', 'квадрате', 'K1', '!', '!', '!']",GameTox
8971,pls,0,['pls'],GameTox
19025,stupid heavy,1,"['stupid', 'heavy']",GameTox
19774,push is-7,0,"['push', 'is-7']",GameTox
4639,omfg,1,['omfg'],GameTox
20212,T57,0,['T57'],GameTox
46757,ka ri can you go behind the tvp,0,"['ka', 'ri', 'can', 'you', 'go', 'behind', 'the', 'tvp']",GameTox
25345,retards,1,['retards'],GameTox
6839,"idiots, T 55 is reloading",0,"['idiots', ',', 'T', '55', 'is', 'reloading']",GameTox
53559,i cant go so fast,0,"['i', 'cant', 'go', 'so', 'fast']",GameTox
15689,Засвет в квадрате D0!!!,0,"['Засвет', 'в', 'квадрате', 'D0', '!', '!', '!']",GameTox
46900,nice,0,['nice'],GameTox
41579,dont worry just win,0,"['dont', 'worry', 'just', 'win']",GameTox
26324,T103 there,0,"['T103', 'there']",GameTox
25825,GL HF,0,"['GL', 'HF']",GameTox
28671,afk,1,['afk'],GameTox
6993,support you top tier,0,"['support', 'you', 'top', 'tier']",GameTox
15637,soon be asking for mark of excellence back :-P,0,"['soon', 'be', 'asking', 'for', 'mark', 'of', 'excellence', 'back', ':', '-P']",GameTox
10584,if you want,0,"['if', 'you', 'want']",GameTox
6920,disabled cancers,1,"['disabled', 'cancers']",GameTox
46219,hwk if u push up a bit further,0,"['hwk', 'if', 'u', 'push', 'up', 'a', 'bit', 'further']",GameTox
3875,пидарасы не помогли,1,"['пидарасы', 'не', 'помогли']",GameTox
23660,gg,0,['gg'],GameTox
49284,arrty,0,['arrty'],GameTox
31570,Im Spotted at K6!,0,"['Im', 'Spotted', 'at', 'K6', '!']",GameTox
12632,?,0,['?'],GameTox
1087,gg :D,0,"['gg', ':', 'D']",GameTox
22604,gg,0,['gg'],GameTox
45784,xd,0,['xd'],GameTox
32827,zizko kam jedes,0,"['zizko', 'kam', 'jedes']",GameTox
42933,ae,0,['ae'],GameTox
18221,what do you want?,0,"['what', 'do', 'you', 'want', '?']",GameTox
39293,CCAP,0,['CCAP'],GameTox
5158,"i mean, A-44 if you are going to take the lead when i'm doing all the damage, then at least do damage",1,"['i', 'mean', ',', 'A-44', 'if', 'you', 'are', 'going', 'to', 'take', 'the', 'lead', 'when', 'i', ""'m"", 'doing', 'all', 'the', 'damage', ',', 'then', 'at', 'least', 'do', 'damage']",GameTox
15281,idiota,1,['idiota'],GameTox
24886,thanks stupid tomato platoon,1,"['thanks', 'stupid', 'tomato', 'platoon']",GameTox
1823,"183, they were all sideways back here...smh",0,"['183', ',', 'they', 'were', 'all', 'sideways', 'back', 'here', '...', 'smh']",GameTox
18194,ggs wp,0,"['ggs', 'wp']",GameTox
31568,gg,0,['gg'],GameTox
30739,4k damage,0,"['4k', 'damage']",GameTox
53875,gg,0,['gg'],GameTox
45461,2 BOTS STILL THERE,1,"['2', 'BOTS', 'STILL', 'THERE']",GameTox
45490,gg,0,['gg'],GameTox
53598,thx idiots for no play,1,"['thx', 'idiots', 'for', 'no', 'play']",GameTox
29863,GOOD JOB IDIOT MORONS,1,"['GOOD', 'JOB', 'IDIOT', 'MORONS']",GameTox
37099,pls,0,['pls'],GameTox
47373,joke matchmaking,1,"['joke', 'matchmaking']",GameTox
40075,Spotted at K7,0,"['Spotted', 'at', 'K7']",GameTox
28864,sgg,0,['sgg'],GameTox
19947,F rng,1,"['F', 'rng']",GameTox
46479,caaaaaaaaaaaap,0,['caaaaaaaaaaaap'],GameTox
22427,go,0,['go'],GameTox
16553,gg,0,['gg'],GameTox
47017,kurvaaa,1,['kurvaaa'],GameTox
8460,just cap,0,"['just', 'cap']",GameTox
37818,stall time,0,"['stall', 'time']",GameTox
40872,amx has to be close,0,"['amx', 'has', 'to', 'be', 'close']",GameTox
22300,how is GSOR 1010 looking like?,0,"['how', 'is', 'GSOR', '1010', 'looking', 'like', '?']",GameTox
19130,i go spot,0,"['i', 'go', 'spot']",GameTox
8540,ok,0,['ok'],GameTox
5424,I spot him if he comes here,0,"['I', 'spot', 'him', 'if', 'he', 'comes', 'here']",GameTox
44060,umm...why is our arty so far forward?,0,"['umm', '...', 'why', 'is', 'our', 'arty', 'so', 'far', 'forward', '?']",GameTox
18154,move up you useless cunts,1,"['move', 'up', 'you', 'useless', 'cunts']",GameTox
45543,lol,0,['lol'],GameTox
38309,fv lol,0,"['fv', 'lol']",GameTox
21753,EBR - sleep well,1,"['EBR', '-', 'sleep', 'well']",GameTox
51986,лохи,0,['лохи'],GameTox
37365,gg,0,['gg'],GameTox
43140,fv afk,0,"['fv', 'afk']",GameTox
22243,arty,0,['arty'],GameTox
54196,Im Spotted at E1!,0,"['Im', 'Spotted', 'at', 'E1', '!']",GameTox
8849,no way,0,"['no', 'way']",GameTox
10169,i need spot,0,"['i', 'need', 'spot']",GameTox
18488,dzięki,0,['dzięki'],GameTox
28462,ok,0,['ok'],GameTox
6913,omg,0,['omg'],GameTox
9592,do somethin -.-,0,"['do', 'somethin', '-.-']",GameTox
29846,wn8 is 15^ never saw it,1,"['wn8', 'is', '15^', 'never', 'saw', 'it']",GameTox
16148,cap,0,['cap'],GameTox
15722,gg,0,['gg'],GameTox
5343,can i get the kill,0,"['can', 'i', 'get', 'the', 'kill']",GameTox
5522,&lt;3,0,"['&', 'lt', ';', '3']",GameTox
6016,hi guys,0,"['hi', 'guys']",GameTox
29098,3 cap,0,"['3', 'cap']",GameTox
2488,cap,0,['cap'],GameTox
9266,I owe u blowjob,0,"['I', 'owe', 'u', 'blowjob']",GameTox
1590,asia camping mode,1,"['asia', 'camping', 'mode']",GameTox
28262,s up,0,"['s', 'up']",GameTox
29755,?,0,['?'],GameTox
29547,weekend scouts,0,"['weekend', 'scouts']",GameTox
14868,fck this,1,"['fck', 'this']",GameTox
47495,arl 44 you sleep total !,1,"['arl', '44', 'you', 'sleep', 'total', '!']",GameTox
45559,do you need a tissue Nancy?,0,"['do', 'you', 'need', 'a', 'tissue', 'Nancy', '?']",GameTox
22931,seriously,0,['seriously'],GameTox
8109,?,0,['?'],GameTox
47192,i did 7k combi on the other side,0,"['i', 'did', '7k', 'combi', 'on', 'the', 'other', 'side']",GameTox
3237,areproted,0,['areproted'],GameTox
46179,yep,0,['yep'],GameTox
15153,report him,0,"['report', 'him']",GameTox
42259,report ebr he he does it on purpose,0,"['report', 'ebr', 'he', 'he', 'does', 'it', 'on', 'purpose']",GameTox
45793,gg,0,['gg'],GameTox
31516,gg,0,['gg'],GameTox
14588,why so slwo,1,"['why', 'so', 'slwo']",GameTox
2760,darn low rolls,0,"['darn', 'low', 'rolls']",GameTox
20507,what else xD,0,"['what', 'else', 'xD']",GameTox
18143,even 90,0,"['even', '90']",GameTox
24590,fist 10k :),0,"['fist', '10k', ':', ')']",GameTox
17069,lolll,0,['lolll'],GameTox
38900,e,0,['e'],GameTox
18491,idiots,1,['idiots'],GameTox
1128,learn to play first,0,"['learn', 'to', 'play', 'first']",GameTox
11896,гриль и арта тащите,0,"['гриль', 'и', 'арта', 'тащите']",GameTox
2232,fak off bot,1,"['fak', 'off', 'bot']",GameTox
2969,"T30, u can kill arty",0,"['T30', ',', 'u', 'can', 'kill', 'arty']",GameTox
51370,but totally agree who is this Dev noob...,0,"['but', 'totally', 'agree', 'who', 'is', 'this', 'Dev', 'noob', '...']",GameTox
49780,gold in side,0,"['gold', 'in', 'side']",GameTox
40236,Засвет в квадрате D0!!!,0,"['Засвет', 'в', 'квадрате', 'D0', '!', '!', '!']",GameTox
48158,scorp,0,['scorp'],GameTox
45232,gj,0,['gj'],GameTox
28059,move med idiots,1,"['move', 'med', 'idiots']",GameTox
15765,and they still cant remove it,0,"['and', 'they', 'still', 'cant', 'remove', 'it']",GameTox
24775,I‘ve been spotted in A2!,0,"['I', '‘', 've', 'been', 'spotted', 'in', 'A2', '!']",GameTox
20609,Im Spotted at D7!,0,"['Im', 'Spotted', 'at', 'D7', '!']",GameTox
15814,Засвет в квадрате G4!!!,0,"['Засвет', 'в', 'квадрате', 'G4', '!', '!', '!']",GameTox
10795,gomig gforwardwe2,0,"['gomig', 'gforwardwe2']",GameTox
35307,need support south field,0,"['need', 'support', 'south', 'field']",GameTox
41670,go go,0,"['go', 'go']",GameTox
42052,gonna buy it again,0,"['gon', 'na', 'buy', 'it', 'again']",GameTox
53690,good,0,['good'],GameTox
34634,Giga Dumbs BoBs Bobs Dumbs,1,"['Giga', 'Dumbs', 'BoBs', 'Bobs', 'Dumbs']",GameTox
51380,lol,0,['lol'],GameTox
35407,yep,0,['yep'],GameTox
39290,aim here from a safe place:,0,"['aim', 'here', 'from', 'a', 'safe', 'place', ':']",GameTox
23808,AT7 use forest for cammo,0,"['AT7', 'use', 'forest', 'for', 'cammo']",GameTox
10726,E100 uninstall after this game pls,1,"['E100', 'uninstall', 'after', 'this', 'game', 'pls']",GameTox
15799,what the f are you doing,1,"['what', 'the', 'f', 'are', 'you', 'doing']",GameTox
43287,the mos monger i see,1,"['the', 'mos', 'monger', 'i', 'see']",GameTox
28162,spać j... zjeby,1,"['spać', 'j', '...', 'zjeby']",GameTox
26287,:),1,"[':', ')']",GameTox
30987,"you know, you dont need to tell ppl you have daddy issues",1,"['you', 'know', ',', 'you', 'dont', 'need', 'to', 'tell', 'ppl', 'you', 'have', 'daddy', 'issues']",GameTox
13791,gj,0,['gj'],GameTox
11916,rng,0,['rng'],GameTox
14392,fcking bot,1,"['fcking', 'bot']",GameTox
9570,Im Spotted at A8!,0,"['Im', 'Spotted', 'at', 'A8', '!']",GameTox
30922,church go!,0,"['church', 'go', '!']",GameTox
48820,and a mini map,0,"['and', 'a', 'mini', 'map']",GameTox
19891,game likes me to suffer,1,"['game', 'likes', 'me', 'to', 'suffer']",GameTox
14234,fu,1,['fu'],GameTox
46508,GJ!!,0,"['GJ', '!', '!']",GameTox
24544,gg,0,['gg'],GameTox
28263,lt?,0,"['lt', '?']",GameTox
16143,spoter idiot,1,"['spoter', 'idiot']",GameTox
25872,this ELC...,0,"['this', 'ELC', '...']",GameTox
22191,skoda idiot???,1,"['skoda', 'idiot', '?', '?', '?']",GameTox
54244,Typeee,0,['Typeee'],GameTox
14038,Menj már nemm kapsz spotot.....,0,"['Menj', 'már', 'nemm', 'kapsz', 'spotot', '.....']",GameTox
51909,tie,0,['tie'],GameTox
23052,i reload than we puch leo?,0,"['i', 'reload', 'than', 'we', 'puch', 'leo', '?']",GameTox
39217,gg 2nd mark,0,"['gg', '2nd', 'mark']",GameTox
34758,arty up,0,"['arty', 'up']",GameTox
21202,what thje fuck is this,1,"['what', 'thje', 'fuck', 'is', 'this']",GameTox
25868,топ,0,['топ'],GameTox
20168,report T32 bot,1,"['report', 'T32', 'bot']",GameTox
19389,Im Spotted at E4!,0,"['Im', 'Spotted', 'at', 'E4', '!']",GameTox
7852,gg,0,['gg'],GameTox
36886,go together,0,"['go', 'together']",GameTox
8266,what do u want all in the north,0,"['what', 'do', 'u', 'want', 'all', 'in', 'the', 'north']",GameTox
32606,е100 тварь ты куда,1,"['е100', 'тварь', 'ты', 'куда']",GameTox
3132,gg,0,['gg'],GameTox
13696,come to push,0,"['come', 'to', 'push']",GameTox
16153,Come on!,0,"['Come', 'on', '!']",GameTox
18752,GO UDES,0,"['GO', 'UDES']",GameTox
43167,omgggggg,0,['omgggggg'],GameTox
